11110,종로구,37.5991001,126.986175
11140,중구,37.5579449,126.9941953
11170,용산구,37.5311061,126.9809422
11200,성동구,37.5506718,127.0409626
11215,광진구,37.5481447,127.085765
11230,동대문구,37.5837941,127.0506879
11260,중랑구,37.5953753,127.093966
11290,성북구,37.6069889,127.0232435
11305,강북구,37.6469903,127.0147136
11320,도봉구,37.6658587,127.0317954
11350,노원구,37.6552597,127.0771199
11380,은평구,37.6176107,126.9227001
11410,서대문구,37.5828688,126.9356676
11440,마포구,37.5622933,126.9087792
11470,양천구,37.5270363,126.8561354
11500,강서구,37.5657621,126.8226558
11530,구로구,37.4956768,126.8581205
11545,금천구,37.4600745,126.9001525
11560,영등포구,37.5206414,126.9139239
11590,동작구,37.4965073,126.9443079
11620,관악구,37.4654,126.9438067
11650,서초구,37.4769532,127.0378001
11680,강남구,37.4959815,127.0664088
11710,송파구,37.5048509,127.1144708
11740,강동구,37.549233,127.1464401
